file,code_of_piece,year,notes_new,uniqid,EX,DP,PN,AA,SD,CH,CAIDO,VIVO,bark_present,bark_absent,BUTTRESS
CWD40_2019_fallen.txt,"26,17G.6.1",2019,2019,fallen188,,*,,,,,,,,,
CWD40_2019_fallen.txt,"49,12J.9.1",2019,NA,fallen349,,*,,,,,,,,,
CWD40_2019_fallen.txt,"26,17D.7.1",2019,2019,fallen187,,*,,,,,,,,,
CWD40_2019_fallen.txt,"47,10E.7.1",2019,NA,fallen334,,*,,,,,,,,,
CWD40_2019_fallen.txt,"10,20K.8.1",2019,se esta descomponiendo,fallen074,,*,,,,,,,,,
CWD40_2019_fallen.txt,"10,20O.8.1",2019,NA,fallen077,,*,,,,,,,,,
CWD40_2019_fallen.txt,"08,06K.9.1",2019,NA,fallen063,,*,,,,,,,,,
CWD40_2019_fallen.txt,"36,13B.5.1",2019,NA,fallen252,,*,,,,,,,,,
CWD40_2019_fallen.txt,"43,15B.5.1",2019,NA,fallen288,,*,,,,,,,,,
CWD40_2019_fallen.txt,"45,05I.6.3",2019,NA,fallen321,,*,,,,,,,,,
